Site Name ,WLR107
Site Number ,107
Logger ,Capacitive Water Level
Logger Serial Number ,35698


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,29/08/2014 , 11:15:00,2125,26.2573
2,29/08/2014 , 11:20:00,2121,25.7016
3,29/08/2014 , 11:25:00,2120,25.5627
4,29/08/2014 , 11:30:00,2119,25.4237
5,29/08/2014 , 11:35:00,2117,25.1459
6,29/08/2014 , 11:40:00,2114,24.7291
7,29/08/2014 , 11:45:00,2112,24.4512
8,29/08/2014 , 11:50:00,2111,24.3123
9,29/08/2014 , 11:55:00,2109,24.0345
10,29/08/2014 , 12:00:00,2109,24.0345
11,29/08/2014 , 12:05:00,2108,23.8955
12,29/08/2014 , 12:10:00,2106,23.6177
13,29/08/2014 , 12:15:00,2105,23.4787
14,29/08/2014 , 12:20:00,2104,23.3398
15,29/08/2014 , 12:25:00,2103,23.2009
16,29/08/2014 , 12:30:00,2102,23.062
17,29/08/2014 , 12:35:00,2102,23.062
18,29/08/2014 , 12:40:00,2101,22.923
19,29/08/2014 , 12:45:00,2100,22.7841
20,29/08/2014 , 12:50:00,2100,22.7841
21,29/08/2014 , 12:55:00,2099,22.6452
22,29/08/2014 , 13:00:00,2098,22.5063
23,29/08/2014 , 13:05:00,2098,22.5063
24,29/08/2014 , 13:10:00,2098,22.5063
25,29/08/2014 , 13:15:00,2098,22.5063
26,29/08/2014 , 13:20:00,2098,22.5063
27,29/08/2014 , 13:25:00,2097,22.3673
28,29/08/2014 , 13:30:00,2096,22.2284
29,29/08/2014 , 13:35:00,2095,22.0895
30,29/08/2014 , 13:40:00,2096,22.2284
31,29/08/2014 , 13:45:00,2098,22.5063
32,29/08/2014 , 13:50:00,2096,22.2284
33,29/08/2014 , 13:55:00,2096,22.2284
34,29/08/2014 , 14:00:00,2097,22.3673
35,29/08/2014 , 14:05:00,2097,22.3673
36,29/08/2014 , 14:10:00,2096,22.2284
37,29/08/2014 , 14:15:00,2096,22.2284
38,29/08/2014 , 14:20:00,2096,22.2284
39,29/08/2014 , 14:25:00,2096,22.2284
40,29/08/2014 , 14:30:00,2095,22.0895
41,29/08/2014 , 14:35:00,2096,22.2284
42,29/08/2014 , 14:40:00,2095,22.0895
43,29/08/2014 , 14:45:00,2093,21.8116
44,29/08/2014 , 14:50:00,2093,21.8116
45,29/08/2014 , 14:55:00,2094,21.9505
46,29/08/2014 , 15:00:00,2094,21.9505
47,29/08/2014 , 15:05:00,2096,22.2284
48,29/08/2014 , 15:10:00,2098,22.5063
49,29/08/2014 , 15:15:00,2100,22.7841
50,29/08/2014 , 15:20:00,2104,23.3398
51,29/08/2014 , 15:25:00,2106,23.6177
52,29/08/2014 , 15:30:00,2111,24.3123
53,29/08/2014 , 15:35:00,2115,24.868
54,29/08/2014 , 15:40:00,2121,25.7016
55,29/08/2014 , 15:45:00,2123,25.9794
56,29/08/2014 , 15:50:00,2125,26.2573
57,29/08/2014 , 15:55:00,2131,27.0909
58,29/08/2014 , 16:00:00,2136,27.7855
59,29/08/2014 , 16:05:00,2141,28.4801
60,29/08/2014 , 16:10:00,2146,29.1748
61,29/08/2014 , 16:15:00,2152,30.0083
62,29/08/2014 , 16:20:00,2158,30.8419
63,29/08/2014 , 16:25:00,2165,31.8144
64,29/08/2014 , 16:30:00,2170,32.509
65,29/08/2014 , 16:35:00,2177,33.4815
66,29/08/2014 , 16:40:00,2181,34.0372
67,29/08/2014 , 16:45:00,2183,34.3151
68,29/08/2014 , 16:50:00,2186,34.7319
69,29/08/2014 , 16:55:00,2187,34.8708
70,29/08/2014 , 17:00:00,2188,35.0097
71,29/08/2014 , 17:05:00,2189,35.1487
72,29/08/2014 , 17:10:00,2189,35.1487
73,29/08/2014 , 17:15:00,2189,35.1487
74,29/08/2014 , 17:20:00,2189,35.1487
75,29/08/2014 , 17:25:00,2187,34.8708
76,29/08/2014 , 17:30:00,2186,34.7319
77,29/08/2014 , 17:35:00,2181,34.0372
78,29/08/2014 , 17:40:00,2177,33.4815
79,29/08/2014 , 17:45:00,2173,32.9258
80,29/08/2014 , 17:50:00,2169,32.3701
81,29/08/2014 , 17:55:00,2166,31.9533
82,29/08/2014 , 18:00:00,2165,31.8144
83,29/08/2014 , 18:05:00,2163,31.5365
84,29/08/2014 , 18:10:00,2161,31.2587
85,29/08/2014 , 18:15:00,2161,31.2587
86,29/08/2014 , 18:20:00,2161,31.2587
87,29/08/2014 , 18:25:00,2160,31.1198
88,29/08/2014 , 18:30:00,2161,31.2587
89,29/08/2014 , 18:35:00,2163,31.5365
90,29/08/2014 , 18:40:00,2165,31.8144
91,29/08/2014 , 18:45:00,2169,32.3701
92,29/08/2014 , 18:50:00,2171,32.648
93,29/08/2014 , 18:55:00,2175,33.2037
94,29/08/2014 , 19:00:00,2180,33.8983
