Site Name ,WLR107,,,,
Site Number ,107,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,35698,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,23/07/2016 , 14:25:00,2127,15.6988
2,23/07/2016 , 14:30:00,2129,15.9767
3,23/07/2016 , 14:35:00,2131,16.2545
4,23/07/2016 , 14:40:00,2137,17.0881
5,23/07/2016 , 14:45:00,2127,15.6988
6,23/07/2016 , 14:50:00,2129,15.9767
7,23/07/2016 , 14:55:00,2129,15.9767
8,23/07/2016 , 15:00:00,2128,15.8377
9,23/07/2016 , 15:05:00,2127,15.6988
10,23/07/2016 , 15:10:00,2127,15.6988
11,23/07/2016 , 15:15:00,2128,15.8377
12,23/07/2016 , 15:20:00,2128,15.8377
13,23/07/2016 , 15:25:00,2128,15.8377
14,23/07/2016 , 15:30:00,2127,15.6988
15,23/07/2016 , 15:35:00,2127,15.6988
16,23/07/2016 , 15:40:00,2127,15.6988
17,23/07/2016 , 15:45:00,2127,15.6988
18,23/07/2016 , 15:50:00,2127,15.6988
19,23/07/2016 , 15:55:00,2131,16.2545
20,23/07/2016 , 16:00:00,2134,16.6713
21,23/07/2016 , 16:05:00,2133,16.5324
22,23/07/2016 , 16:10:00,2135,16.8102
23,23/07/2016 , 16:15:00,2134,16.6713
24,23/07/2016 , 16:20:00,2135,16.8102
25,23/07/2016 , 16:25:00,2134,16.6713
26,23/07/2016 , 16:30:00,2134,16.6713
27,23/07/2016 , 16:35:00,2134,16.6713
28,23/07/2016 , 16:40:00,2133,16.5324
29,23/07/2016 , 16:45:00,2132,16.3934
30,23/07/2016 , 16:50:00,2131,16.2545
31,23/07/2016 , 16:55:00,2131,16.2545
32,23/07/2016 , 17:00:00,2129,15.9767
33,23/07/2016 , 17:05:00,2130,16.1156
34,23/07/2016 , 17:10:00,2128,15.8377
35,23/07/2016 , 17:15:00,2127,15.6988
36,23/07/2016 , 17:20:00,2127,15.6988
37,23/07/2016 , 17:25:00,2127,15.6988
38,23/07/2016 , 17:30:00,2126,15.5599
39,23/07/2016 , 17:35:00,2127,15.6988
40,23/07/2016 , 17:40:00,2127,15.6988
41,23/07/2016 , 17:45:00,2127,15.6988
42,23/07/2016 , 17:50:00,2126,15.5599
43,23/07/2016 , 17:55:00,2126,15.5599
44,23/07/2016 , 18:00:00,2128,15.8377
45,23/07/2016 , 18:05:00,2133,16.5324
46,23/07/2016 , 18:10:00,2134,16.6713
47,23/07/2016 , 18:15:00,2135,16.8102
48,23/07/2016 , 18:20:00,2136,16.9492
49,23/07/2016 , 18:25:00,2137,17.0881
50,23/07/2016 , 18:30:00,2137,17.0881
51,23/07/2016 , 18:35:00,2137,17.0881
52,23/07/2016 , 18:40:00,2137,17.0881
53,23/07/2016 , 18:45:00,2140,17.5049
54,23/07/2016 , 18:50:00,2140,17.5049
55,23/07/2016 , 18:55:00,2140,17.5049
56,23/07/2016 , 19:00:00,2141,17.6438
57,23/07/2016 , 19:05:00,2145,18.1995
58,23/07/2016 , 19:10:00,2147,18.4774
59,23/07/2016 , 19:15:00,2147,18.4774
60,23/07/2016 , 19:20:00,2148,18.6163
61,23/07/2016 , 19:25:00,2148,18.6163
62,23/07/2016 , 19:30:00,2148,18.6163
63,23/07/2016 , 19:35:00,2148,18.6163
64,23/07/2016 , 19:40:00,2149,18.7552
65,23/07/2016 , 19:45:00,2149,18.7552
66,23/07/2016 , 19:50:00,2149,18.7552
67,23/07/2016 , 19:55:00,2150,18.8941
68,23/07/2016 , 20:00:00,2150,18.8941
69,23/07/2016 , 20:05:00,2149,18.7552
70,23/07/2016 , 20:10:00,2149,18.7552
71,23/07/2016 , 20:15:00,2150,18.8941
72,23/07/2016 , 20:20:00,2150,18.8941
73,23/07/2016 , 20:25:00,2150,18.8941
74,23/07/2016 , 20:30:00,2150,18.8941
75,23/07/2016 , 20:35:00,2150,18.8941
76,23/07/2016 , 20:40:00,2151,19.0331
77,23/07/2016 , 20:45:00,2159,20.1445
78,23/07/2016 , 20:50:00,2151,19.0331
79,23/07/2016 , 20:55:00,2152,19.172
80,23/07/2016 , 21:00:00,2153,19.3109
81,23/07/2016 , 21:05:00,2153,19.3109
82,23/07/2016 , 21:10:00,2153,19.3109
83,23/07/2016 , 21:15:00,2154,19.4498
84,23/07/2016 , 21:20:00,2153,19.3109
85,23/07/2016 , 21:25:00,2153,19.3109
86,23/07/2016 , 21:30:00,2153,19.3109
87,23/07/2016 , 21:35:00,2154,19.4498
88,23/07/2016 , 21:40:00,2153,19.3109
89,23/07/2016 , 21:45:00,2153,19.3109
90,23/07/2016 , 21:50:00,2154,19.4498
91,23/07/2016 , 21:55:00,2155,19.5888
92,23/07/2016 , 22:00:00,2154,19.4498
93,23/07/2016 , 22:05:00,2155,19.5888
