"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
1,15/02/2016,12:40:00,"NA",0.18
2,15/02/2016,12:45:00,"NA",0.06
3,15/02/2016,12:50:00,"NA",28.14
4,15/02/2016,12:55:00,"NA",25.51
5,15/02/2016,13:00:00,"NA",22.93
6,15/02/2016,13:05:00,"NA",20.54
7,15/02/2016,13:10:00,"NA",18.32
8,15/02/2016,13:15:00,"NA",16.41
9,15/02/2016,13:20:00,"NA",14.73
10,15/02/2016,13:25:00,"NA",13.11
11,15/02/2016,13:30:00,"NA",11.92
12,15/02/2016,13:35:00,"NA",10.84
13,15/02/2016,13:40:00,"NA",9.94
14,15/02/2016,13:45:00,"NA",9.16
15,15/02/2016,13:50:00,"NA",8.5
16,15/02/2016,13:55:00,"NA",7.9
17,15/02/2016,14:00:00,"NA",7.43
18,15/02/2016,14:05:00,"NA",7.01
19,15/02/2016,14:10:00,"NA",6.71
20,15/02/2016,14:15:00,"NA",6.41
21,15/02/2016,14:20:00,"NA",6.17
22,15/02/2016,14:25:00,"NA",5.87
23,15/02/2016,14:30:00,"NA",5.69
24,15/02/2016,14:35:00,"NA",5.57
25,15/02/2016,14:40:00,"NA",5.45
26,15/02/2016,14:45:00,"NA",5.33
27,15/02/2016,14:50:00,"NA",5.21
28,15/02/2016,14:55:00,"NA",5.15
29,15/02/2016,15:00:00,"NA",5.03
30,15/02/2016,15:05:00,"NA",4.97
31,15/02/2016,15:10:00,"NA",4.97
32,15/02/2016,15:15:00,"NA",4.91
33,15/02/2016,15:20:00,"NA",4.85
34,15/02/2016,15:25:00,"NA",4.85
35,15/02/2016,15:30:00,"NA",4.85
36,15/02/2016,15:35:00,"NA",4.85
37,15/02/2016,15:40:00,1480,4.79
38,15/02/2016,15:45:00,1480,4.79
39,15/02/2016,15:50:00,1479,4.73
40,15/02/2016,15:55:00,1479,4.73
41,15/02/2016,16:00:00,1479,4.73
42,15/02/2016,16:05:00,1478,4.67
43,15/02/2016,16:10:00,1478,4.67
44,15/02/2016,16:15:00,1478,4.67
45,15/02/2016,16:20:00,1478,4.67
46,15/02/2016,16:25:00,1478,4.67
47,15/02/2016,16:30:00,1478,4.67
48,15/02/2016,16:35:00,1478,4.67
49,15/02/2016,16:40:00,1478,4.67
50,15/02/2016,16:45:00,1478,4.67
51,15/02/2016,16:50:00,1478,4.67
52,15/02/2016,16:55:00,1478,4.67
53,15/02/2016,17:00:00,1478,4.67
54,15/02/2016,17:05:00,1477,4.61
55,15/02/2016,17:10:00,1478,4.67
56,15/02/2016,17:15:00,1478,4.67
57,15/02/2016,17:20:00,1478,4.67
58,15/02/2016,17:25:00,1478,4.67
59,15/02/2016,17:30:00,1478,4.67
60,15/02/2016,17:35:00,1478,4.67
61,15/02/2016,17:40:00,1478,4.67
62,15/02/2016,17:45:00,1478,4.67
63,15/02/2016,17:50:00,1479,4.73
64,15/02/2016,17:55:00,1479,4.73
65,15/02/2016,18:00:00,1479,4.73
66,15/02/2016,18:05:00,1479,4.73
67,15/02/2016,18:10:00,1479,4.73
68,15/02/2016,18:15:00,1478,4.67
69,15/02/2016,18:20:00,1478,4.67
70,15/02/2016,18:25:00,1478,4.67
71,15/02/2016,18:30:00,1477,4.61
72,15/02/2016,18:35:00,1477,4.61
73,15/02/2016,18:40:00,1477,4.61
74,15/02/2016,18:45:00,1477,4.61
75,15/02/2016,18:50:00,1477,4.61
76,15/02/2016,18:55:00,1477,4.61
77,15/02/2016,19:00:00,1477,4.61
78,15/02/2016,19:05:00,1477,4.61
79,15/02/2016,19:10:00,1477,4.61
80,15/02/2016,19:15:00,1477,4.61
81,15/02/2016,19:20:00,1477,4.61
82,15/02/2016,19:25:00,1477,4.61
83,15/02/2016,19:30:00,1477,4.61
84,15/02/2016,19:35:00,1477,4.61
85,15/02/2016,19:40:00,1477,4.61
86,15/02/2016,19:45:00,1477,4.61
87,15/02/2016,19:50:00,1477,4.61
88,15/02/2016,19:55:00,1477,4.61
89,15/02/2016,20:00:00,1477,4.61
90,15/02/2016,20:05:00,1477,4.61
91,15/02/2016,20:10:00,1477,4.61
92,15/02/2016,20:15:00,1476,4.55
93,15/02/2016,20:20:00,1477,4.61
94,15/02/2016,20:25:00,1477,4.61
95,15/02/2016,20:30:00,1477,4.61
96,15/02/2016,20:35:00,1477,4.61
97,15/02/2016,20:40:00,1477,4.61
98,15/02/2016,20:45:00,1477,4.61
99,15/02/2016,20:50:00,1477,4.61
100,15/02/2016,20:55:00,1476,4.55
101,15/02/2016,21:00:00,1476,4.55
102,15/02/2016,21:05:00,1476,4.55
103,15/02/2016,21:10:00,1476,4.55
104,15/02/2016,21:15:00,1476,4.55
105,15/02/2016,21:20:00,1476,4.55
106,15/02/2016,21:25:00,1476,4.55
107,15/02/2016,21:30:00,1476,4.55
108,15/02/2016,21:35:00,1476,4.55
109,15/02/2016,21:40:00,1476,4.55
110,15/02/2016,21:45:00,1476,4.55
111,15/02/2016,21:50:00,1476,4.55
112,15/02/2016,21:55:00,1476,4.55
113,15/02/2016,22:00:00,1476,4.55
114,15/02/2016,22:05:00,1476,4.55
115,15/02/2016,22:10:00,1476,4.55
116,15/02/2016,22:15:00,1476,4.55
117,15/02/2016,22:20:00,1476,4.55
118,15/02/2016,22:25:00,1476,4.55
119,15/02/2016,22:30:00,1476,4.55
120,15/02/2016,22:35:00,1476,4.55
121,15/02/2016,22:40:00,1476,4.55
122,15/02/2016,22:45:00,1476,4.55
123,15/02/2016,22:50:00,1476,4.55
124,15/02/2016,22:55:00,1477,4.61
125,15/02/2016,23:00:00,1477,4.61
126,15/02/2016,23:05:00,1477,4.61
127,15/02/2016,23:10:00,1477,4.61
128,15/02/2016,23:15:00,1477,4.61
129,15/02/2016,23:20:00,1477,4.61
130,15/02/2016,23:25:00,1477,4.61
131,15/02/2016,23:30:00,1478,4.67
132,15/02/2016,23:35:00,1478,4.67
